Parametres Conditionnement,Paramètres Conditionnement
Ingredient Recette,Ingrédient recette
Matiere Ordre Conditionnement,Matière ordre de conditionnement
Rebut Ordre Conditionnement,Rebut ordre de conditionnement
Checklist Preparation,Checklist préparation
Checklist Ordre Conditionnement,Checklist ordre de conditionnement
Ligne Checklist Ordre Conditionnement,Ligne checklist ordre de conditionnement
Tracabilite Lot,Traçabilité lot
Magasinier Conditionnement,Magasinier conditionnement
Opérateur Conditionnement,Opérateur conditionnement
Responsable Conditionnement,Responsable conditionnement
You changed the value of {0},Vous avez modifié la valeur de {0}
You changed the value of {0} {1},Vous avez modifié la valeur de {0} {1}
You changed the values for {0},Vous avez modifié les valeurs de {0}
You changed the values for {0} {1},Vous avez modifié les valeurs de {0} {1}
{0} changed the value of {1},{0} a modifié la valeur de {1}
{0} changed the value of {1} {2},{0} a modifié la valeur de {1} {2}
{0} changed the values for {1},{0} a modifié les valeurs de {1}
{0} changed the values for {1} {2},{0} a modifié les valeurs de {1} {2}
{0} from {1} to {2},{0} de {1} à {2}
{0} from {1} to {2} in row #{3},{0} de {1} à {2} dans la ligne n°{3}
You changed {0} to {1},Vous avez modifié {0} en {1},Form timeline
{0} changed {1} to {2},{0} a modifié {1} en {2},Form timeline
added rows for {0},lignes ajoutées pour {0}
removed rows for {0},lignes supprimées pour {0}
